customerID,churn_probability,risk_tier,tenure,adoption_score,opportunity_value,health_score,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges
7590-VHVEG,0.8022255,High Risk,1,0.16666666666666666,69.85094063549555,13.638726472854614,Month-to-month,DSL,Electronic check,29.85,29.85
5575-GNVDE,0.12118291,Low Risk,34,0.3333333333333333,63.62766722473353,64.77418740590413,One year,DSL,Mailed check,56.95,1889.5
3668-QPYBK,0.6616686,High Risk,2,0.3333333333333333,66.70527605705252,24.4165700674057,Month-to-month,DSL,Mailed check,53.85,108.15
7795-CFOCW,0.12566823,Low Risk,45,0.5,57.53421322144395,72.46658861637115,One year,DSL,Bank transfer (automatic),42.3,1840.75
9237-HQITU,0.816978,High Risk,2,0.0,80.99453605766122,9.984434445699057,Month-to-month,Fiber optic,Electronic check,70.7,151.65
9305-CDSKC,0.88672715,High Risk,8,0.5,20.382714003898286,18.996975620587666,Month-to-month,Fiber optic,Electronic check,99.65,820.5
1452-KIOVK,0.6405539,High Risk,22,0.3333333333333333,46.501889381793205,33.80563875039419,Month-to-month,Fiber optic,Credit card (automatic),89.1,1949.4
6713-OKOMC,0.40321705,Medium Risk,10,0.16666666666666666,77.84887147921819,37.33914613723755,Month-to-month,DSL,Mailed check,29.75,301.9
7892-POOKP,0.7596841,High Risk,28,0.6666666666666666,14.289260000608706,37.01579570770264,Month-to-month,Fiber optic,Electronic check,104.8,3046.05
6388-TABGU,0.09719361,Low Risk,62,0.3333333333333333,66.70527605705252,77.64032006263733,One year,DSL,Bank transfer (automatic),56.15,3487.95
9763-GRSKD,0.3643689,Medium Risk,13,0.16666666666666666,77.84887147921819,40.531554222106934,Month-to-month,DSL,Mailed check,49.95,587.45
7469-LKBCI,0.081547715,Low Risk,16,0.0,0.0,52.58927981058756,Two year,No,Credit card (automatic),18.95,326.8
8091-TTVAX,0.43661854,Medium Risk,58,0.5,20.382714003898286,62.33573834101359,One year,Fiber optic,Credit card (automatic),100.35,5681.1
0280-XJGEX,0.6777607,High Risk,49,0.6666666666666666,9.239118581732612,49.861963987350464,Month-to-month,Fiber optic,Bank transfer (automatic),103.7,5036.3
5129-JLPIS,0.67659384,High Risk,25,0.8333333333333334,11.143595422165674,43.253641327222184,Month-to-month,Fiber optic,Electronic check,105.5,2686.05
3655-SNQYZ,0.079294115,Low Risk,69,1.0,0.0,94.78529572486877,Two year,Fiber optic,Credit card (automatic),113.25,7895.15
8191-XWSZG,0.076704115,Low Risk,52,0.0,0.0,67.83145944277446,One year,No,Mailed check,20.65,1022.95
9959-WOFKT,0.34966123,Medium Risk,71,0.6666666666666666,17.237049425455254,75.43360511461894,Two year,Fiber optic,Bank transfer (automatic),106.7,7382.25
4190-MFLUW,0.39783594,Medium Risk,10,0.3333333333333333,60.67987779988698,40.941534837087,Month-to-month,DSL,Credit card (automatic),55.2,528.35
4183-MYFRB,0.72903323,High Risk,21,0.5,32.588169835434954,32.298338413238525,Month-to-month,Fiber optic,Electronic check,90.05,1862.9
8779-QRDMV,0.85804427,High Risk,1,0.3333333333333333,43.73176525760063,14.181119998296102,Month-to-month,DSL,Electronic check,39.65,39.65
1680-VDCWW,0.16551743,Low Risk,12,0.0,0.0,46.724127531051636,One year,No,Bank transfer (automatic),19.8,202.25
1066-JKSGK,0.6056778,High Risk,1,0.0,0.0,20.132777492205303,Month-to-month,No,Mailed check,20.15,20.15
3638-WEABW,0.063646816,Low Risk,58,0.3333333333333333,63.75748663220597,77.6509936650594,Two year,DSL,Credit card (automatic),59.9,3505.1
6322-HRPFA,0.22368456,Low Risk,49,0.5,60.611822053762936,69.2324392000834,Month-to-month,DSL,Credit card (automatic),59.6,2970.3
6865-JZNKO,0.2616498,Low Risk,30,0.3333333333333333,66.70527605705252,56.08417729536692,Month-to-month,DSL,Bank transfer (automatic),55.3,1530.6
6467-CHFZW,0.7125848,High Risk,47,0.5,23.460322836217273,43.954093654950455,Month-to-month,Fiber optic,Electronic check,99.35,4749.15
8665-UTDHZ,0.73822504,High Risk,1,0.16666666666666666,69.85094063549555,16.83874785900116,Month-to-month,DSL,Electronic check,30.2,30.2
5248-YGIJN,0.041115217,Low Risk,72,1.0,0.0,97.94423878192902,Two year,DSL,Credit card (automatic),90.25,6369.45
8773-HHUOZ,0.4602227,Medium Risk,17,0.3333333333333333,34.60391825838295,40.73886394500732,Month-to-month,DSL,Mailed check,64.7,1093.1
3841-NFECX,0.08770438,Low Risk,71,0.6666666666666666,46.390617799278274,88.53144864241283,Two year,Fiber optic,Credit card (automatic),96.35,6766.95
4929-XIHVW,0.8625856,High Risk,2,0.5,20.382714003898286,17.70405312379201,Month-to-month,Fiber optic,Credit card (automatic),95.5,181.65
6827-IEAUQ,0.12414384,Low Risk,27,0.6666666666666666,46.390617799278274,68.37614138921101,One year,DSL,Mailed check,66.15,1874.45
7310-EGVHZ,0.5745852,Medium Risk,1,0.0,0.0,21.687406698862713,Month-to-month,No,Bank transfer (automatic),20.2,20.2
3413-BMNZE,0.7382786,High Risk,1,0.0,80.99453605766122,13.502735296885174,Month-to-month,DSL,Bank transfer (automatic),45.25,45.25
6234-RAAPL,0.06123718,Low Risk,72,0.6666666666666666,37.26277080006059,90.27147551377614,Two year,Fiber optic,Bank transfer (automatic),99.9,7251.7
6047-YHPVI,0.80264544,High Risk,5,0.0,80.99453605766122,11.951061089833576,Month-to-month,Fiber optic,Electronic check,69.7,316.9
